run,nr,vr,repetition,Module,simpleResponseTimeRatio:last
FactorialAnalysisPriority-19-20200110-15:06:32-19053,0.1,1.3 -(0.1),4,Network.exit,0.52675306122474
FactorialAnalysisPriority-6-20200110-15:06:21-18985,0.1,1.3 -(0.1),1,Network.exit,0.54350985464034
FactorialAnalysisPriority-3-20200110-15:06:17-18950,0.1,1.3 -(0.1),3,Network.exit,0.84749596750286
FactorialAnalysisPriority-61-20200110-15:07:14-19270,1.2,1.3 -(1.2),1,Network.exit,0.76116340493793
FactorialAnalysisPriority-71-20200110-15:07:24-19321,1.2,1.3 -(1.2),1,Network.exit,0.75248978958581
FactorialAnalysisPriority-30-20200110-15:06:43-19108,0.1,1.3 -(0.1),0,Network.exit,0.83789913816558
FactorialAnalysisPriority-63-20200110-15:07:16-19280,1.2,1.3 -(1.2),3,Network.exit,0.75876767787301
FactorialAnalysisPriority-50-20200110-15:07:03-19209,1.2,1.3 -(1.2),0,Network.exit,0.75084119291062
FactorialAnalysisPriority-72-20200110-15:07:26-19326,1.2,1.3 -(1.2),2,Network.exit,0.75245577386877
FactorialAnalysisPriority-65-20200110-15:07:18-19290,1.2,1.3 -(1.2),0,Network.exit,0.43103968068509
FactorialAnalysisPriority-7-20200110-15:06:21-18990,0.1,1.3 -(0.1),2,Network.exit,0.53386819884328
FactorialAnalysisPriority-29-20200110-15:06:42-19103,0.1,1.3 -(0.1),4,Network.exit,0.52277049767562
FactorialAnalysisPriority-75-20200110-15:07:29-19341,1.2,1.3 -(1.2),0,Network.exit,0.42937632001272
FactorialAnalysisPriority-4-20200110-15:06:21-18975,0.1,1.3 -(0.1),4,Network.exit,0.84177276627934
FactorialAnalysisPriority-31-20200110-15:06:43-19113,0.1,1.3 -(0.1),1,Network.exit,0.84340856927937
FactorialAnalysisPriority-62-20200110-15:07:15-19275,1.2,1.3 -(1.2),2,Network.exit,0.76491558850886
FactorialAnalysisPriority-48-20200110-15:07:02-19199,1.2,1.3 -(1.2),3,Network.exit,0.43092589969946
FactorialAnalysisPriority-14-20200110-15:06:27-19027,0.1,1.3 -(0.1),4,Network.exit,0.84599152290138
FactorialAnalysisPriority-17-20200110-15:06:31-19043,0.1,1.3 -(0.1),2,Network.exit,0.53594187058977
FactorialAnalysisPriority-39-20200110-15:06:52-19154,0.1,1.3 -(0.1),4,Network.exit,0.53678554514047
FactorialAnalysisPriority-28-20200110-15:06:42-19098,0.1,1.3 -(0.1),3,Network.exit,0.53350714487167
FactorialAnalysisPriority-24-20200110-15:06:38-19078,0.1,1.3 -(0.1),4,Network.exit,0.84262202740874
FactorialAnalysisPriority-49-20200110-15:07:03-19204,1.2,1.3 -(1.2),4,Network.exit,0.4330929009104
FactorialAnalysisPriority-1-20200110-15:06:17-18948,0.1,1.3 -(0.1),1,Network.exit,0.84096089969034
FactorialAnalysisPriority-58-20200110-15:07:11-19255,1.2,1.3 -(1.2),3,Network.exit,0.42994023555893
FactorialAnalysisPriority-47-20200110-15:07:00-19194,1.2,1.3 -(1.2),2,Network.exit,0.43330081658217
FactorialAnalysisPriority-5-20200110-15:06:21-18980,0.1,1.3 -(0.1),0,Network.exit,0.53332410535301
FactorialAnalysisPriority-18-20200110-15:06:31-19047,0.1,1.3 -(0.1),3,Network.exit,0.53085114640471
FactorialAnalysisPriority-59-20200110-15:07:12-19260,1.2,1.3 -(1.2),4,Network.exit,0.43269127303581
FactorialAnalysisPriority-70-20200110-15:07:23-19316,1.2,1.3 -(1.2),0,Network.exit,0.76180252386904
FactorialAnalysisPriority-27-20200110-15:06:39-19093,0.1,1.3 -(0.1),2,Network.exit,0.52245077269043
FactorialAnalysisPriority-2-20200110-15:06:17-18949,0.1,1.3 -(0.1),2,Network.exit,0.83767272831436
FactorialAnalysisPriority-60-20200110-15:07:13-19265,1.2,1.3 -(1.2),0,Network.exit,0.74922974628129
FactorialAnalysisPriority-43-20200110-15:06:56-19174,1.2,1.3 -(1.2),3,Network.exit,0.75907144166921
FactorialAnalysisPriority-56-20200110-15:07:09-19245,1.2,1.3 -(1.2),1,Network.exit,0.43007732908658
FactorialAnalysisPriority-78-20200110-15:07:31-19356,1.2,1.3 -(1.2),3,Network.exit,0.42743803255871
FactorialAnalysisPriority-69-20200110-15:07:22-19311,1.2,1.3 -(1.2),4,Network.exit,0.43476633773624
FactorialAnalysisPriority-36-20200110-15:06:50-19139,0.1,1.3 -(0.1),1,Network.exit,0.53164599532023
FactorialAnalysisPriority-22-20200110-15:06:34-19068,0.1,1.3 -(0.1),2,Network.exit,0.84233884937567
FactorialAnalysisPriority-53-20200110-15:07:06-19230,1.2,1.3 -(1.2),3,Network.exit,0.75917232183264
FactorialAnalysisPriority-45-20200110-15:06:59-19184,1.2,1.3 -(1.2),0,Network.exit,0.43345866777788
FactorialAnalysisPriority-54-20200110-15:07:07-19235,1.2,1.3 -(1.2),4,Network.exit,0.75639383860702
FactorialAnalysisPriority-12-20200110-15:06:27-19017,0.1,1.3 -(0.1),2,Network.exit,0.84107468512859
FactorialAnalysisPriority-34-20200110-15:06:47-19129,0.1,1.3 -(0.1),4,Network.exit,0.83469718256659
FactorialAnalysisPriority-0-20200110-15:06:17-18947,0.1,1.3 -(0.1),0,Network.exit,0.83829498023809
FactorialAnalysisPriority-13-20200110-15:06:27-19022,0.1,1.3 -(0.1),3,Network.exit,0.84144627193805
FactorialAnalysisPriority-26-20200110-15:06:39-19088,0.1,1.3 -(0.1),1,Network.exit,0.53143171875156
FactorialAnalysisPriority-68-20200110-15:07:21-19306,1.2,1.3 -(1.2),3,Network.exit,0.42714331092014
FactorialAnalysisPriority-44-20200110-15:06:57-19179,1.2,1.3 -(1.2),4,Network.exit,0.75893786474607
FactorialAnalysisPriority-15-20200110-15:06:28-19032,0.1,1.3 -(0.1),0,Network.exit,0.53595094046243
FactorialAnalysisPriority-37-20200110-15:06:51-19144,0.1,1.3 -(0.1),2,Network.exit,0.53847525743817
FactorialAnalysisPriority-16-20200110-15:06:31-19038,0.1,1.3 -(0.1),1,Network.exit,0.53301260304655
FactorialAnalysisPriority-38-20200110-15:06:51-19149,0.1,1.3 -(0.1),3,Network.exit,0.53965946810564
FactorialAnalysisPriority-23-20200110-15:06:35-19073,0.1,1.3 -(0.1),3,Network.exit,0.84141542466008
FactorialAnalysisPriority-25-20200110-15:06:38-19083,0.1,1.3 -(0.1),0,Network.exit,0.5215007408708
FactorialAnalysisPriority-46-20200110-15:06:59-19189,1.2,1.3 -(1.2),1,Network.exit,0.43606270806826
FactorialAnalysisPriority-57-20200110-15:07:10-19250,1.2,1.3 -(1.2),2,Network.exit,0.43327823651898
FactorialAnalysisPriority-79-20200110-15:07:33-19361,1.2,1.3 -(1.2),4,Network.exit,0.42239817746789
FactorialAnalysisPriority-51-20200110-15:07:04-19214,1.2,1.3 -(1.2),1,Network.exit,0.76135300009452
FactorialAnalysisPriority-73-20200110-15:07:26-19331,1.2,1.3 -(1.2),3,Network.exit,0.76493767414741
FactorialAnalysisPriority-64-20200110-15:07:17-19285,1.2,1.3 -(1.2),4,Network.exit,0.75110787026176
FactorialAnalysisPriority-67-20200110-15:07:20-19301,1.2,1.3 -(1.2),2,Network.exit,0.43100177627019
FactorialAnalysisPriority-9-20200110-15:06:24-19002,0.1,1.3 -(0.1),4,Network.exit,0.53795294021822
FactorialAnalysisPriority-41-20200110-15:06:55-19164,1.2,1.3 -(1.2),1,Network.exit,0.76005661915405
FactorialAnalysisPriority-20-20200110-15:06:34-19058,0.1,1.3 -(0.1),0,Network.exit,0.84077756395291
FactorialAnalysisPriority-8-20200110-15:06:24-18997,0.1,1.3 -(0.1),3,Network.exit,0.52342436443929
FactorialAnalysisPriority-40-20200110-15:06:54-19159,1.2,1.3 -(1.2),0,Network.exit,0.76363948062123
FactorialAnalysisPriority-66-20200110-15:07:19-19296,1.2,1.3 -(1.2),1,Network.exit,0.43505017908641
FactorialAnalysisPriority-76-20200110-15:07:30-19346,1.2,1.3 -(1.2),1,Network.exit,0.43162120341553
FactorialAnalysisPriority-10-20200110-15:06:24-19007,0.1,1.3 -(0.1),0,Network.exit,0.84429067261738
FactorialAnalysisPriority-32-20200110-15:06:46-19119,0.1,1.3 -(0.1),2,Network.exit,0.83759942977907
FactorialAnalysisPriority-21-20200110-15:06:34-19063,0.1,1.3 -(0.1),1,Network.exit,0.83587695108645
FactorialAnalysisPriority-35-20200110-15:06:48-19134,0.1,1.3 -(0.1),0,Network.exit,0.53649567100972
FactorialAnalysisPriority-52-20200110-15:07:06-19225,1.2,1.3 -(1.2),2,Network.exit,0.75750153377182
FactorialAnalysisPriority-74-20200110-15:07:27-19336,1.2,1.3 -(1.2),4,Network.exit,0.74896890577982
FactorialAnalysisPriority-42-20200110-15:06:56-19169,1.2,1.3 -(1.2),2,Network.exit,0.75708691234355
FactorialAnalysisPriority-55-20200110-15:07:08-19240,1.2,1.3 -(1.2),0,Network.exit,0.42848380812365
FactorialAnalysisPriority-77-20200110-15:07:30-19351,1.2,1.3 -(1.2),2,Network.exit,0.42945820608822
FactorialAnalysisPriority-11-20200110-15:06:24-19012,0.1,1.3 -(0.1),1,Network.exit,0.84242209482322
FactorialAnalysisPriority-33-20200110-15:06:47-19124,0.1,1.3 -(0.1),3,Network.exit,0.84785562185417
